1.0 0.0
2.0 0.0
3.0 0.0
3.0 1.0
4.0 0.0
4.0 2.0
5.0 0.0
5.0 1.0
5.0 2.0
5.0 3.0
5.0 4.0
6.0 0.0
6.0 1.0
6.0 4.0
6.0 5.0
7.0 2.0
7.0 5.0
7.0 6.0
8.0 3.0
9.0 3.0
9.0 8.0
10.0 3.0
10.0 6.0
10.0 8.0
11.0 3.0
11.0 8.0
11.0 9.0
11.0 10.0
12.0 3.0
12.0 6.0
12.0 8.0
12.0 9.0
12.0 10.0
12.0 11.0
13.0 3.0
13.0 8.0
13.0 11.0
13.0 12.0
14.0 3.0
14.0 7.0
14.0 8.0
14.0 9.0
14.0 11.0
14.0 12.0
15.0 3.0
15.0 10.0
15.0 12.0
16.0 3.0
16.0 10.0
16.0 15.0
17.0 3.0
17.0 11.0
17.0 12.0
17.0 13.0
18.0 3.0
18.0 6.0
18.0 12.0
19.0 3.0
19.0 10.0
20.0 3.0
20.0 8.0
20.0 9.0
20.0 11.0
21.0 3.0
21.0 8.0
21.0 10.0
21.0 11.0
22.0 3.0
22.0 6.0
22.0 8.0
22.0 11.0
23.0 3.0
23.0 8.0
23.0 12.0
23.0 21.0
24.0 3.0
24.0 8.0
24.0 9.0
24.0 12.0
24.0 20.0
25.0 3.0
25.0 6.0
25.0 14.0
25.0 22.0
26.0 3.0
26.0 8.0
26.0 11.0
26.0 14.0
26.0 24.0
27.0 3.0
27.0 8.0
27.0 9.0
27.0 11.0
27.0 23.0
28.0 4.0
29.0 4.0
29.0 6.0
29.0 11.0
29.0 13.0
30.0 4.0
30.0 7.0
31.0 4.0
31.0 30.0
32.0 8.0
32.0 12.0
32.0 13.0
32.0 23.0
33.0 8.0
33.0 10.0
33.0 12.0
33.0 23.0
33.0 32.0
35.0 8.0
35.0 10.0
35.0 34.0
36.0 12.0
36.0 34.0
36.0 35.0
37.0 8.0
37.0 10.0
37.0 33.0
37.0 34.0
37.0 35.0
38.0 10.0
38.0 12.0
38.0 33.0
38.0 34.0
38.0 35.0
38.0 37.0
39.0 10.0
39.0 12.0
39.0 33.0
39.0 34.0
39.0 35.0
