1 12
1 14
1 18
1 26
1 31
1 34
1 38
1 42
1 43
1 54
1 61
1 71
1 85
1 99
2 3
2 5
2 10
2 40
2 52
2 72
2 74
2 81
2 84
2 98
2 102
2 107
3 17
3 20
3 27
3 56
3 62
3 65
3 70
3 76
3 87
3 95
3 96
3 113
4 2
4 6
4 13
4 15
4 32
4 39
4 47
4 60
4 64
4 100
4 106
5 7
5 8
5 21
5 22
5 51
5 68
5 77
5 78
5 108
5 111
6 19
6 29
6 30
6 35
6 55
6 79
6 80
6 82
6 94
6 101
7 1
7 25
7 33
7 37
7 45
7 89
7 103
7 105
7 109
8 44
8 48
8 57
8 66
8 75
8 86
8 91
8 92
8 112
9 46
9 49
9 53
9 67
9 73
9 83
9 88
9 110
9 114
10 0
10 4
10 9
10 16
10 23
10 41
10 93
10 104
11 11
11 24
11 28
11 50
11 69
11 90
12 36
12 58
12 59
12 63
12 97
